TimeStep,NominalState1,NominalState2,NominalState3,UncompensatedState1,UncompensatedState2,UncompensatedState3,EstimatedState1,EstimatedState2,EstimatedState3,ExactState1,ExactState2,ExactState3,UncompensatedWeightedDeviation,EstimatedWeightedDeviation,ExactWeightedDeviation
95,1.40053996166509,1.25890829133789,0.227237315500664,1.38774802022035,1.24604553920573,0.262609681706506,1.40061550149454,1.25896274688254,0.227246797720218,1.40053996166509,1.25890829133789,0.227237315500664,0.0397528420284532,9.36033368150299e-05,0
96,1.37528924040395,1.23621109467825,0.223140392018892,1.36244465075996,1.22330101846864,0.258504216064964,1.37536504654943,1.23626578960731,0.223149917448166,1.37528924040395,1.23621109467825,0.223140392018892,0.0397775514834914,9.39619112242674e-05,0
97,1.35049377203438,1.21392311122488,0.219117333078488,1.33759748339964,1.20096656415677,0.25447276897372,1.35056983969442,1.21397804122243,0.219126900938441,1.35049377203438,1.21392311122488,0.219117333078488,0.0398019248255742,9.43140364865744e-05,0
98,1.3261453485472,1.19203696329042,0.215166806957132,1.31319829301669,1.1790347831998,0.250514005933788,1.32622167300687,1.19209212411835,0.215176416482771,1.3261453485472,1.19203696329042,0.215166806957132,0.0398259640123658,9.46598281455382e-05,0
99,1.30223590994035,1.17054540617939,0.211287505942205,1.28923900280412,1.15749841579663,0.246626616505938,1.30231248656974,1.17060079367599,0.211297156382328,1.30223590994035,1.17054540617939,0.211287505942205,0.0398496711227486,9.49993997000373e-05,0
100,1.27875754154654,1.14944132579434,0.207478145897961,1.26571168159264,1.13635033301658,0.242809313876975,1.27883436579921,1.14949693587295,0.207487836514909,1.27875754154654,1.14944132579434,0.207478145897961,0.039873048348549,9.53328626368686e-05,0
101,1.25570247140969,1.12871773628451,0.203737465840489,1.24260854122169,1.11558353444303,0.239060834433811,1.25577953882117,1.12877356493214,0.203747195909903,1.25570247140969,1.12871773628451,0.203737465840489,0.0398960979866528,9.5660326466877e-05,0
102,1.23306306770921,1.10836777773627,0.200064227520342,1.21992193395839,1.09519114585917,0.235379937345226,1.23314037389553,1.10842382101227,0.200073996330923,1.23306306770921,1.10836777773627,0.200064227520342,0.039918822431495,9.59818987566148e-05,0
103,1.21083183623131,1.0883847139048,0.196457215012676,1.19764434996348,1.07516641697483,0.231765404151148,1.21090937688753,1.08844096793958,0.196467021865949,1.21083183623131,1.0883847139048,0.196457215012676,0.039941224167906,9.62976851639345e-05,0
104,1.18900141788613,1.06876192998622,0.192915234314779,1.1757684148034,1.05550271919406,0.228216038359346,1.18907918878492,1.06881839097996,0.192925078524862,1.18900141788613,1.06876192998622,0.192915234314779,0.0399633057643023,9.66077894697426e-05,0
105,1.16756458627009,1.04949293042963,0.189437112950848,1.15428688700748,1.03619354342252,0.224730665049383,1.16764258326035,1.04954959465101,0.189446993844225,1.16756458627009,1.04949293042963,0.189437112950848,0.0399850698662038,9.69123136092767e-05,0
106,1.14651424527237,1.03057133678829,0.18602169958389,1.13319265566945,1.0172324979142,0.221308130483706,1.14659246427784,1.03062820057326,0.186031616499187,1.14651424527237,1.03057133678829,0.18602169958389,0.0400065191900643,9.72113577060961e-05,0
107,1.12584342672479,1.01199088560933,0.18266786363462,1.11247873809244,0.998613306156778,0.217947301725751,1.12592186374269,1.01204794535992,0.182677815922389,1.12584342672479,1.01199088560933,0.18266786363462,0.0400276565174029,9.75050201017263e-05,0
108,1.10554528809426,0.993745426361386,0.179374494907223,1.0921382774766,0.980329804794848,0.214647066264925,1.10562393919398,0.993802678544457,0.179384481929723,1.10554528809426,0.993745426361386,0.179374494907223,0.0400484846892224,9.77933973866623e-05,0
109,1.08561311021694,0.975828919399345,0.176140503221865,1.07216454064856,0.962375941590498,0.211406331648349,1.08569197153874,0.975886360545489,0.176150524352856,1.08561311021694,0.975828919399345,0.176140503221865,0.0400690066007016,9.80765844317569e-05,0
110,1.06604029507339,0.958235433965777,0.172964818053829,1.05255091583193,0.944745773420523,0.20822402511924,1.06611936282713,0.958293060668126,0.172974872678358,1.06604029507339,0.958235433965777,0.172964818053829,0.0400892251961512,9.83546744163207e-05,0
111,1.04682036360399,0.940959146228221,0.169846388179147,1.03329091045815,0.927433464309636,0.20509909326181,1.04689963406784,0.941016955141332,0.16985647569335,1.04682036360399,0.940959146228221,0.169846388179147,0.0401091434642196,9.86277588600688e-05,0
112,1.02794695356372,0.923994337351806,0.166784181326635,1.01437814901684,0.910433283499069,0.20203050165257,1.02802642308297,0.924052325190551,0.166794301137535,1.02794695356372,0.923994337351806,0.166784181326635,0.040128764433341,9.88959276496323e-05,0
113,1.00941381741579,0.907335391606548,0.163777183836184,0.995806370945008,0.893739603549917,0.199017234517913,1.00949348240162,0.907393555145029,0.163787335361496,1.00941381741579,0.907335391606548,0.163777183836184,0.0401480911674116,9.91592690683638e-05,0
114,0.991214820263245,0.89097679450871,0.160824400323227,0.977569428554332,0.877346898480631,0.196058294397874,0.991294677191531,0.891035130579188,0.160834582991163,0.991214820263245,0.89097679450871,0.160824400323227,0.0401671267616863,9.94178698236662e-05,0
115,0.973343937817933,0.874913130995631,0.157924853349241,0.959661284995927,0.861249741938032,0.193152701815955,0.97342398322809,0.874971636487479,0.157935066598321,0.973343937817933,0.874913130995631,0.157924853349241,0.0401858743388847,9.9671815075907e-05,0
116,0.955795254406113,0.859139083633418,0.155077583098198,0.942076012261778,0.845442805401269,0.190299494954894,0.955875484899952,0.859197755492093,0.155087826377068,0.955795254406113,0.859139083633418,0.155077583098198,0.0402043370454999,9.99211884636264e-05,0
117,0.938562961010074,0.843649430856924,0.152281647058847,0.924807789222275,0.82992085641813,0.187497729338285,0.938643373250669,0.843708266082954,0.15229191982609,0.938562961010074,0.843649430856924,0.152281647058847,0.0402225180482964,0.000100166072131655,0
118,0.921641353345068,0.828439045241429,0.14953611971272,0.907850899699142,0.81467875687311,0.184746477517939,0.921721944055658,0.828498040889418,0.149546421436683,0.921641353345068,0.828439045241429,0.14953611971272,0.0402404205309941,0.000100406546756723,0
119,0.905024829970953,0.813502891805458,0.146840092227769,0.891199730573139,0.799711461286704,0.182044828766875,0.905105595933853,0.813562044983115,0.146850422386384,0.905024829970953,0.813502891805458,0.146840092227769,0.0402580476911258,0.00010064269157337,0
120,0.888707890437889,0.798836026344186,0.144192672157521,0.874848769925893,0.785014015145323,0.179391888777855,0.888788828493428,0.798895334211366,0.144203030238131,0.888707890437889,0.798836026344186,0.144192672157521,0.0402754027370642,0.000100874584399589,0
121,0.872685133465485,0.784433593792867,0.14159298314566,0.858792605215251,0.77058155326132,0.176786779367343,0.872766240510958,0.78449305356063,0.141603368644852,0.872685133465485,0.784433593792867,0.14159298314566,0.0402924888852066,0.000101102301661455,0
122,0.85695125515479,0.770290826619766,0.139040164635934,0.84302592148354,0.756409298162566,0.174228638184811,0.857032528143431,0.770350435549455,0.13905057705937,0.85695125515479,0.770290826619766,0.139040164635934,0.0403093093573149,0.000101325918417352,0
123,0.841501047232525,0.756403043248048,0.136533371587289,0.82754349959814,0.74249255851105,0.17171661842728,0.841582483172499,0.756462798650382,0.136543810449546,0.841501047232525,0.756403043248048,0.136533371587289,0.0403258673780007,0.000101545508383262,0
124,0.82632939532698,0.742765646506115,0.134071774194147,0.812340214523786,0.728826727549987,0.169249888559012,0.826410991280394,0.742825545740299,0.134082239018552,0.82632939532698,0.742765646506115,0.134071774194147,0.0403421661723497,0.000101761143955478,0
