Trial,PursuerBiasEstimate,EvaderBiasEstimate
523,0.0400043491728959,-0.0107169742076698
524,0.0399980194351156,-0.00936959182688698
525,0.0399990689346368,-0.0105272664976408
526,0.0399958861860427,-0.0108128731100067
527,0.040002626889635,-0.00808035769518137
528,0.0399866759547597,-0.00952427029307436
529,0.0400061703145404,-0.00877803046402622
530,0.0400051863004481,-0.00965696627779135
531,0.0399976294482151,-0.0106765900932827
532,0.0400008901780533,-0.0102734917520897
533,0.0400061758200013,-0.00912162856384469
534,0.0399913411651622,-0.00975264644482928
535,0.0400048493932824,-0.00963158527717164
536,0.039983781136037,-0.00955880399774531
537,0.0400000713235853,-0.00941508340111902
538,0.039979975553566,-0.009292952156785
539,0.039990673630452,-0.0100513653400185
540,0.0400080756898495,-0.0113809750252263
541,0.0400160978293395,-0.0104227701476564
542,0.0400081406380777,-0.00946992619073081
543,0.039998672611333,-0.00975645964221808
544,0.0399903484548062,-0.0105193417427982
545,0.0400007900515191,-0.010192747392858
546,0.0400099770176813,-0.0095465933595642
547,0.0399909557162672,-0.0103277699583545
548,0.0399943310877589,-0.00907222456205967
549,0.0400169574143751,-0.00946100272018134
550,0.0399989893500972,-0.00904045062390671
551,0.0399828389759367,-0.010208400019427
552,0.0399933378959232,-0.0109254520111068
553,0.0400043937712901,-0.00983629739102321
554,0.0400014309360789,-0.00992820187630343
555,0.0400102923557926,-0.00956105878341364
556,0.0400024021825499,-0.0105098030543345
557,0.03998946139797,-0.00899039053171808
558,0.0400043412026522,-0.00852975477601307
559,0.0399932360341823,-0.00884765523140025
560,0.0399977013326718,-0.0097516087676523
561,0.0399955590225014,-0.00953800674342775
562,0.04000280002333,-0.0102768327747373
563,0.0399959572361214,-0.00984912814414048
564,0.0399991740557474,-0.0116892639420824
565,0.0399897445971023,-0.00975760076059375
566,0.040004609718188,-0.010280453455249
567,0.0400013220630379,-0.00891301868385343
568,0.0399950919698158,-0.00950190995118726
569,0.0399986683610322,-0.0104166216580628
570,0.0400070656620375,-0.0111302801313623
571,0.0400074361887882,-0.00879334751510694
572,0.040000210370722,-0.0106523939454557
573,0.0400130687708564,-0.00912471423327488
574,0.0399908900597287,-0.0096417718729735
575,0.0400004381380357,-0.0113279777076724
576,0.0399974965601149,-0.00937771610792926
577,0.0400116994734264,-0.0102602548818576
578,0.0400090282309173,-0.00946348903930938
579,0.0399930813528541,-0.00922945298665733
580,0.0400015931357082,-0.00936202538394371
581,0.0400011515088561,-0.010708941797808
582,0.0400189557134555,-0.00989074792622494
