TimeStep,PursuerPolicyNominal,PursuerCommandNominal,PursuerRealizedNominal,PursuerPolicyUncompensated,PursuerCommandUncompensated,PursuerRealizedUncompensated,PursuerPolicyEstimated,PursuerCommandEstimated,PursuerRealizedEstimated,PursuerPolicyExact,PursuerCommandExact,PursuerRealizedExact,EvaderPolicyNominal,EvaderCommandNominal,EvaderRealizedNominal,EvaderPolicyUncompensated,EvaderCommandUncompensated,EvaderRealizedUncompensated,EvaderPolicyEstimated,EvaderCommandEstimated,EvaderRealizedEstimated,EvaderPolicyExact,EvaderCommandExact,EvaderRealizedExact
53,0.477768395580481,0.477768395580481,0.477768395580481,0.47366312568505,0.47366312568505,0.51366312568505,0.477776602504221,0.437775235475212,0.477775235475212,0.477768395580481,0.437768395580481,0.477768395580481,0.77534711560952,0.77534711560952,0.77534711560952,0.772741161495876,0.772741161495876,0.762741161495876,0.77536056170441,0.785647999257085,0.775647999257085,0.77534711560952,0.78534711560952,0.77534711560952
54,0.469154711536532,0.469154711536532,0.469154711536532,0.465031481595265,0.465031481595265,0.505031481595265,0.469163009308739,0.42916164227973,0.46916164227973,0.469154711536532,0.429154711536532,0.469154711536532,0.761367846717267,0.761367846717267,0.761367846717267,0.75873274645168,0.75873274645168,0.74873274645168,0.761381440247091,0.771668877799766,0.761668877799766,0.761367846717267,0.771367846717267,0.761367846717267
55,0.460696302879891,0.460696302879891,0.460696302879891,0.456555436707159,0.456555436707159,0.496555436707159,0.460704689862712,0.420703322833704,0.460703322833704,0.460696302879891,0.420696302879892,0.460696302879891,0.747640670272872,0.747640670272872,0.747640670272872,0.744976949320183,0.744976949320183,0.734976949320183,0.747654408579296,0.757941846131971,0.747941846131971,0.747640670272872,0.757640670272872,0.747640670272872
56,0.452390374120655,0.452390374120655,0.452390374120655,0.448232189691334,0.448232189691334,0.488232189691334,0.452398848705751,0.412397481676742,0.452397481676742,0.452390374120655,0.412390374120655,0.452390374120655,0.734161031424874,0.734161031424874,0.734161031424874,0.731469205779492,0.731469205779492,0.721469205779492,0.734174911897525,0.7444623494502,0.7344623494502,0.734161031424874,0.744161031424874,0.734161031424874
57,0.444234179471764,0.444234179471764,0.444234179471764,0.440058989026753,0.440058989026753,0.480058989026753,0.444242740079783,0.404241373050774,0.444241373050774,0.444234179471764,0.404234179471764,0.444234179471764,0.720924459148186,0.720924459148186,0.720924459148186,0.718205035504257,0.718205035504257,0.708205035504257,0.720938479223779,0.731225916776454,0.721225916776454,0.720924459148186,0.730924459148186,0.720924459148186
58,0.43622502207426,0.43622502207426,0.43622502207426,0.432033132224055,0.432033132224055,0.472033132224055,0.436233667154315,0.396232300125306,0.436232300125306,0.43622502207426,0.39622502207426,0.43622502207426,0.707926564436122,0.707926564436122,0.707926564436122,0.705180040354732,0.705180040354732,0.695180040354732,0.707940721597611,0.718228159150286,0.708228159150286,0.707926564436122,0.717926564436122,0.707926564436122
59,0.428360253215393,0.428360253215393,0.428360253215393,0.42415196504176,0.42415196504176,0.46415196504176,0.428368981244551,0.388367614215542,0.428367614215542,0.428360253215393,0.388360253215393,0.428360253215393,0.695163038576615,0.695163038576615,0.695163038576615,0.692389902650056,0.692389902650056,0.682389902650056,0.695177330352352,0.705464767905027,0.695464767905027,0.695163038576615,0.705163038576615,0.695163038576615
60,0.420637271543398,0.420637271543398,0.420637271543398,0.416412880699186,0.416412880699186,0.456412880699186,0.420646081026177,0.380644713997169,0.420644713997169,0.420637271543398,0.380637271543398,0.420637271543398,0.682629651502126,0.682629651502126,0.682629651502126,0.679830383515269,0.679830383515269,0.669830383515269,0.682644075465041,0.692931513017716,0.682931513017716,0.682629651502126,0.692629651502126,0.682629651502126
61,0.413053522282026,0.413053522282026,0.413053522282026,0.408813319089156,0.408813319089156,0.448813319089156,0.413062411749901,0.373061044720892,0.413061044720892,0.413053522282026,0.373053522282026,0.413053522282026,0.670322250204508,0.670322250204508,0.670322250204508,0.667497321293332,0.667497321293332,0.657497321293332,0.670336803971302,0.680624241523977,0.670624241523977,0.670322250204508,0.680322250204508,0.670322250204508
62,0.405606496447331,0.405606496447331,0.405606496447331,0.401350765992998,0.401350765992998,0.441350765992998,0.40561546445825,0.365614097429241,0.405614097429241,0.405606496447331,0.365606496447331,0.405606496447331,0.658236757207538,0.658236757207538,0.658236757207538,0.655386630014836,0.655386630014836,0.645386630014836,0.658251438437892,0.668538875990567,0.658538875990567,0.658236757207538,0.668236757207538,0.658236757207538
